PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Li, Shuangyin; Pan, Rong; Luo, Haoyu; Liu, Xiao; Zhao, Gansen				; Liu, Xiao/AAG-1593-2020	Li, Shuangyin/0000-0001-6404-3438; 					Adaptive cross-contextual word embedding for word polysemy with unsupervised topic modeling								KNOWLEDGE-BASED SYSTEMS				218						106827			10.1016/j.knosys.2021.106827					FEB 2021		Article	APR 22 2021	2021	Because of its efficiency, word embedding has been widely used in many natural language processing and text modeling tasks. It aims to represent each word by a vector so such that the geometry between these vectors can capture the semantic correlations between words. An ambiguous word can often have diverse meanings in different contexts, a quality which is called polysemy. The bulk of studies aimed to generate only one single embedding for each word, whereas a few studies have made a small number of embeddings to present different meanings of each word. However, it is hard to determine the exact number of senses for each word, as meanings depend on contexts. To address this problem, this paper proposes a novel adaptive cross-contextual word embedding (ACWE) method for capturing the word polysemy in different contexts based on topic modeling, in which the word polysemy is defined over a latent interpretable semantic space. The proposed ACWE consists of two main parts, in the first of which an unsupervised cross-contextual probabilistic word embedding model is designed to obtain the global word embeddings, and each word is represented by an embedding in the unified latent semantic space. Based on the global word embeddings, an adaptive cross-contextual word embedding process is then devised in the second part to learn the local embeddings for each polysemous word in different contexts. In fact, a word embedding is adaptively adjusted and updated with respect to different contexts to generate different word embeddings tailored to the corresponding contexts. The proposed ACWE is validated on two datasets collected from Wikipedia and IMDb on different tasks including word similarity, polysemy induction, semantic interpretability, and text classification. Experimental results indicate that ACWE does not only outperform the established word embedding methods, which consider word polysemy on six popular benchmark datasets, but it also yields competitive performance compared with state-of-the-art deep learning-based approaches without considering polysemy. Moreover, the proposed ACWE significantly improves the performances of text classification both in precision and F1, and the visualizations of the semantics of words demonstrate the feasibility and advantage of the proposed ACWE model on polysemy. (C) 2021 The Author(s). Published by Elsevier B.V.									19	2	0	0	1	0	21			0950-7051	1872-7409										South China Normal Univ, Sch Comp Sci, Guangzhou, Guangdong, Peoples R ChinaSun Yat Sen Univ, Sch Data & Comp Sci, Guangzhou, Guangdong, Peoples R ChinaKey Lab Cloud Secur & Assessment Technol Guangzho, Guangzhou, Guangdong, Peoples R ChinaDeakin Univ, Sch Informat Technol, Geelong, Vic, Australia	Key Lab Cloud Secur & Assessment Technol Guangzho			2021-05-15	WOS:000633445100002		
J	Boleda, Gemma; Schulte, Sabine; Badia, Toni				; Boleda, Gemma/LSL-0456-2024	Boleda, Gemma/0000-0001-6140-7080; Schulte im Walde, Sabine/0000-0002-8975-6255; Badia, Toni/0000-0002-9429-5940					Modeling Regular Polysemy: A Study on the Semantic Classification of Catalan Adjectives								COMPUTATIONAL LINGUISTICS				38	3			575	616				10.1162/COLI_a_00093							Article	SEP 2012	2012	We present a study on the automatic acquisition of semantic classes for Catalan adjectives from distributional and morphological information, with particular emphasis on polysemous adjectives. The aim is to distinguish and characterize broad classes, such as qualitative (gran 'big') and relational (pulmonar 'pulmonary') adjectives, as well as to identify polysemous adjectives such as economic ('economic vertical bar cheap'). We specifically aim at modeling regular polysemy, that is, types of sense alternations that are shared across lemmata. To date, both semantic classes for adjectives and regular polysemy have only been sparsely addressed in empirical computational linguistics.Two main specific questions are tackled in this article. First, what is an adequate broad semantic classification for adjectives? We provide empirical support for the qualitative and relational classes as defined in theoretical work, and uncover one type of adjective that has not received enough attention, namely, the event-related class. Second, how is regular polysemy best modeled in computational terms? We present two models, and argue that the second one, which models regular polysemy in terms of simultaneous membership to multiple basic classes, is both theoretically and empirically more adequate than the first one, which attempts to identify independent polysemous classes. Our best classifier achieves 69.1% accuracy, against a 51% baseline.									15	0	0	0	0	0	15			0891-2017	1530-9312										Univ Pompeu Fabra, Dept Translat & Language Sci, Barcelona 08018, SpainUniv Stuttgart, D-7000 Stuttgart, GermanyUniv Pompeu Fabra, Barcelona, Spain				2012-10-03	WOS:000308083100005		
J	Yu, J.; McMillan, L.; Sturm, P.				; McMillan, Leonard/IQS-6191-2023	McMillan, Leonard/0000-0002-8453-0847; 					Multi-Perspective Modelling, Rendering and Imaging								COMPUTER GRAPHICS FORUM				29	1			227	246				10.1111/j.1467-8659.2009.01587.x							Article	2010	2010	A perspective image represents the spatial relationships of objects in a scene as they appear from a single viewpoint. In contrast, a multi-perspective image combines what is seen from several viewpoints into a single image. Despite their incongruity of view, effective multi-perspective images are able to preserve spatial coherence and can depict, within a single context, details of a scene that are simultaneously inaccessible from a single view, yet easily interpretable by a viewer. In computer vision, multi-perspective images have been used for analysing structure revealed via motion and generating panoramic images with a wide field-of-view using mirrors.In this STAR, we provide a practical guide on topics in multi-perspective modelling and rendering methods and multi-perspective imaging systems. We start with a brief review of multi-perspective image techniques frequently employed by artists such as the visual paradoxes of Escher, the Cubism of Picasso and Braque and multi-perspective panoramas in cel animations. We then characterize existing multi-perspective camera models, with an emphasis on their underlying geometry and image properties. We demonstrate how to use these camera models for creating specific multi-perspective rendering effects. Furthermore, we show that many of these cameras satisfy the multi-perspective stereo constraints and we demonstrate several multi-perspective imaging systems for extracting 3D geometry for computer vision.The participants learn about topics in multi-perspective modelling and rendering for generating compelling pictures for computer graphics and in multi-perspective imaging for extracting 3D geometry for computer vision. We hope to provide enough fundamentals to satisfy the technical specialist without intimidating curious digital artists interested in multi-perspective images.The intended audience includes digital artists, photographers and computer graphics and computer vision researchers using or building multi-perspective cameras. They will learn about multi-perspective modelling and rendering, along with many real world multi-perspective imaging systems.									8	1	0	0	0	0	14			0167-7055	1467-8659										Univ Delaware, Dept Comp & Informat Sci, Newark, DE 19716 USAUniv N Carolina, Dept Comp Sci, Chapel Hill, NC USAINRIA Grenoble Rhone Alpes, Montbonnot St Martin, France	INRIA Grenoble Rhone Alpes			2010-01-01	WOS:000274388400017		
J	Soler, Aina Gari; Apidianaki, Marianna					Gari Soler, Aina/0009-0006-5283-7322; Apidianaki, Marianna/0000-0002-8785-7722					Let's Play Mono-Poly: BERT Can Reveal Words' Polysemy Level and Partitionability into Senses								TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS				9				825	844				10.1162/tacl_a_00400							Article	2021	2021	Pre-trained language models (LMs) encode rich information about linguistic structure but their knowledge about lexical polysemy remains unclear. We propose a novel experimental setup for analyzing this knowledge in LMs specifically trained for different languages (English, French, Spanish, and Greek) and in multilingual BERT. We perform our analysis on datasets carefully designed to reflect different sense distributions, and control for parameters that are highly correlated with polysemy such as frequency and grammatical category. We demonstrate that BERT-derived representations reflect words' polysemy level and their partitionability into senses. Polysemy-related information is more clearly present in English BERT embeddings, but models in other languages also manage to establish relevant distinctions between words at different polysemy levels. Our results contribute to a better understanding of the knowledge encoded in contextualized representations and open up new avenues for multilingual lexical semantics research.									31	0	0	0	0	0	31				2307-387X										Univ Paris Saclay, CNRS, LISN, F-91400 Orsay, FranceUniv Helsinki, Dept Digital Humanities, Helsinki, Finland				2022-03-02	WOS:000751952200050		
J	Essameldin, Reem; Ismail, Ahmed A.; Darwish, Saad M.				Ismail, Ahmed/ABA-9161-2020; Darwish, Saad/ISB-6375-2023	Essameldin, Reem/0000-0002-8226-9120; Darwish, Saad/0000-0003-2723-1549					An Opinion Mining Approach to Handle Perspectivism and Ambiguity: Moving Toward Neutrosophic Logic								IEEE ACCESS				10				63314	63328				10.1109/ACCESS.2022.3183108							Article	2022	2022	One main incentive for the utilization of opinion mining (OM) in social media is the impossibility of manually analyzing millions of opinions. However, applying OM for decision-making requires imitating human brain reasoning for more pragmatic results. Analyzing opinions with human-like intelligence is vital for avoiding misleading results. This occurs when the process can properly excogitate social influence and environmental uncertainty. In this study, an OM model for Twitter is proposed to handle perspectivism and opinion ambiguity. For perspectivism, social network analysis (SNA) is conducted, where users are ranked and then weighted using the UCINET tool and neural networks. An uncertainty classifier is used to integrate users' influence levels with the polarity scores of their texts, providing a new polarity score that can reflect the real-world reasoning of opinions. The polarity scores needed for integration are done using the lexicon resource TextBlob. In the proposed model, three uncertainty classifiers are tested: type1 fuzzy logic (T1-FL), type2 fuzzy logic (T2-FL), and neutrosophic logic (NL). A comparative analysis of the methods shows the ability of NL to deal with the uncertainty existing in the data more accurately, proving the benefit of NL in improving the power of OM in social media.									7	0	0	0	0	0	7			2169-3536											Alexandria Univ, Inst Grad Studies & Res, Dept Informat Technol, Alexandria 21526, EgyptHigher Inst Comp & Informat Syst, Alexandria 21913, Egypt	Higher Inst Comp & Informat Syst			2022-06-29	WOS:000814537900001		
J	Rodrigues, Edilson J.; Santos, Paulo E.; Lopes, Marcos; Bennett, Brandon; Oppenheimer, Paul E.				Santos, Paulo/C-1195-2013; Oppenheimer, Paul/J-3087-2019; Santos, Paulo/GYD-5335-2022	Santos, Paulo/0000-0001-8484-0354; Lopes, Marcos/0000-0002-6147-7369; 					Standpoint semantics for polysemy in spatial prepositions								JOURNAL OF LOGIC AND COMPUTATION				30	2			635	661				10.1093/logcom/exz034							Article	MAR 2020	2020	In this paper, we present a formalism for handling polysemy in spatial expressions based on supervaluation semantics called standpoint semantics for polysemy (SSP). The goal of this formalism is, given a prepositional phrase, to define its possible spatial interpretations. For this, we propose to characterize spatial prepositions by means of a triplet (image schema, semantic feature, spatial axis). The core of SSP is predicate grounding theories, which are formulas of a first-order language that define a spatial preposition through the semantic features of its trajector and landmark. Precisifications are also established, which are a set of formulae of a qualitative spatial reasoning formalism that aims to provide the spatial characterization of the trajector with respect to the landmark. In addition to the theoretical model, we also present results of a computational implementation of SSP for the preposition 'in'.									6	0	0	0	0	0	6			0955-792X	1465-363X										Univ Paulista UNIP, Inst Ciencias Exatas & Tecnol, Rua Paz 797, BR-04713001 Sao Paulo, BrazilFlinders Univ S Australia, Coll Sci & Engn, 1284 South Rd, Tonsley, SA 5042, AustraliaCtr Univ FEI, Av Humberto AC Branco,3972 SBC, BR-09850901 Sao Paulo, BrazilUniv Sao Paulo, Dept Linguist, BR-05508010 Sao Paulo, SP, BrazilUniv Leeds, Sch Comp, Leeds LS2 9JT, W Yorkshire, EnglandCtr Study Language & Informat, Stanford, CA 94305 USAUniv Adelaide, Dept Philosophy, Adelaide, SA 5005, Australia	Ctr Study Language & Informat			2020-06-11	WOS:000536503000004		
J	da Silva, Augusto Soares				; da Silva, Augusto/ABF-3547-2020	Soares da Silva, Augusto/0000-0001-7951-5194; 					The polysemy of discourse markers:: The case of pronto in Portuguese								JOURNAL OF PRAGMATICS				38	12			2188	2205				10.1016/j.pragma.2006.03.009							Article	DEC 2006	2006	The aim of this paper is to analyze the meanings and functions of the Portuguese discourse marker pronto, using an oral corpus. The functional polysemy of this lexical item, which is usually viewed rather pejoratively as a mere filler, has resulted from a recent process of grammaticalization of the adjective pronto (`ready, quick'), with the meanings of `finished' or `complete' (in the case of a thing) or `prepared for' (for a person or thing). In this paper, we show how the different pragmatic-discoursal uses distinguished in the corpus (concluding, agreeing, explaining, imposing, punctuating, phatic, and emotive) are metonymically and metaphorically related to two initial mental images and their implications in different cognitive and communicative domains: the retrospective image of a finished process (concluding, agreeing, turn-yielding) and the prospective image of an available process (imposing, explaining, punctuating, turn-taking). We then go on to describe the process of grammaticalization. Finally, we identify the cognitive and pragmatic factors of the polysemy of the discourse markers and discuss the `invariant meaning' hypothesis put forward by Fischer (2000). (c) 2006 Elsevier B.V All rights reserved.									6	0	0	0	0	0	9			0378-2166	1879-1387										Univ Catolica Portuguesa, Fac Filosofia, P-4710297 Braga, Portugal				2006-12-01	WOS:000242987300010		
J	Yu, Xuan; Yu, Jingyi; McMillan, Leonard				; McMillan, Leonard/IQS-6191-2023	McMillan, Leonard/0000-0002-8453-0847; 					Towards multi-perspective rasterization								VISUAL COMPUTER				25	5-7			549	557				10.1007/s00371-009-0335-3							Article; Proceedings Paper	MAY 2009	2009	We present a novel framework for real-time multi-perspective rendering. While most existing approaches are based on ray-tracing, we present an alternative approach by emulating multi-perspective rasterization on the classical perspective graphics pipeline. To render a general multi-perspective camera, we first decompose the camera into piecewise linear primitive cameras called the general linear cameras or GLCs. We derive the closed-form projection equations for GLCs and show how to rasterize triangles onto GLCs via a two-pass rendering algorithm. In the first pass, we compute the GLC projection coefficients of each scene triangle using a vertex shader. The linear raster on the graphics hardware then interpolates these coefficients at each pixel. Finally, we use these interpolated coefficients to compute the projected pixel coordinates using a fragment shader. In the second pass, we move the pixels to their actual projected positions. To avoid holes, we treat neighboring pixels as triangles and re-render them onto the GLC image plane. We demonstrate our real-time multi-perspective rendering framework in a wide range of applications including synthesizing panoramic and omnidirectional views, rendering reflections on curved mirrors, and creating multi-perspective faux animations. Compared with the GPU-based ray tracing methods, our rasterization approach scales better with scene complexity and it can render scenes with a large number of triangles at interactive frame rates.					Computer Graphics International Conference 2009Computer Graphics International Conference 2009	MAY 26-29, 2009MAY 26-29, 2009		Victoria, CANADAVictoria, CANADA	3	0	0	0	0	0	4			0178-2789	1432-2315										Univ Delaware, Newark, DE 19716 USAUniv N Carolina, Chapel Hill, NC USA				2009-05-01	WOS:000265539300019		
J	Sang-up, Park; 김기옥										Probability as the Scientific Representation of the Linguistic Polysemy Space and the Classifications of Concept Models			과학적으로 표현된 언어적 다의성 공간과 확률 그리고 언어적 개념 모델의 구성					New Physics: Sae Mulli	새물리			64	11			1122	1132											research-article	2014	2014	The linguistic polysemy means the meanings connected to a word. Determining the polysemy is associated with the degree of belief. Thus, the degree of belief becomes the probability. The internal structure of the polysemy is the similarity and the nearness. To explain the polysemy, we derive the Gaussian probability density of two independent parameters by using the maximum entropy condition. The product of two probabilities shows the property of connected concepts. Thus, we can construct a prototype concept model from the standard deviation and a weighted-attribute model from the average of the probabilities. Finally, we will show simple examples of linguistic and scientific concepts by separating the concept space.				언어적 다의성은 한 단어로 연결할 수 있는 의미들을 나타낸다. 다의성은 연관된다는 믿음의 크기로 된다. 믿음의 정도를 수학적으로 구성하여 확률을 얻고, 다의성은 근접성과 유사성의 두 가지 특성을 가지므로, 최대 엔트로피 조건으로 2가지 독립변수를 갖는 가우스 확률 분포를 얻고, 다의성에 대응시킨다. 다의성 속성을 갖는 개념들을 결합하여 구성되는 결합 개념들을 두 개의 확률밀도의 곱이 만드는 특성을 이용하여 구분한다. 확률밀도의 평균값은 평균 개념을 만들며, 세부속성을 가중치로 합치는 세부특성모델로 되며, 모든 속성이 필요한 경우는 고전 범주 모델이 됨을 보인다. 또한 표준편차는 원형모델이 됨을 보인다. 개념 공간이 계열체와 통합체로 분류되고, 언어적 예와 과학적 예를 간단하게 보인다.					0	0	0	0	0	0	0			0374-4914															2015-04-16	KJD:ART001931975		
J	Lin, Yih-Jeng; Yu, Ming-Shing; Lin, Chin-Yu; Lin, Yuan-Chun				Lin, Ya-Tin/AAM-2733-2021						A Layered Approach to the Polysemy Problems in a Chinese to Taiwanese TTS System								JOURNAL OF INFORMATION SCIENCE AND ENGINEERING				26	5			1905	1915											Article	SEP 2010	2010	This paper proposes a novel approach to the poly semy problems in a Chinese to Taiwanese TTS (text-to-speech) system. Polysemy means there are words with more than one meaning or pronunciation, such as "(sic)"(no), "(sic)"(up), and "(sic)"(down), and so on. The correct pronunciation of a word affects the comprehensibility (or intelligibility) and fluency of Taiwanese speech. We applied our approach to solve the poly semy problems of the above mentioned three words. These words are difficult polysemy cases since they have many (6, 3, and 4, respectively) possible pronunciations. Results show that the proposed layered approach is over some language models and decision list classifier. Our approach has high accuracy and it can be extended when more training data is available.									0	0	0	0	0	0	0			1016-2364											Chien Kuo Technol Univ, Dept Informat Management, Changhua 500, TaiwanNatl Chung Hsing Univ, Dept Comp Sci & Engn, Taichung 402, Taiwan				2010-09-01	WOS:000282396700022		
