author,title,year,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,keywords,location,series,articleno
"Wilson, Andrew D. and Benko, Hrvoje},","Combining multiple depth cameras and projectors for interactions on, above and between surfaces},","2010},","9781450302715},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1866029.1866073},","10.1145/1866029.1866073},","Instrumented with multiple depth cameras and projectors, LightSpace is a small room installation designed to explore a variety of interactions and computational strategies related to interactive displays and the space that they inhabit. LightSpace cameras and projectors are calibrated to 3D real world coordinates, allowing for projection of graphics correctly onto any surface visible by both camera and projector. Selective projection of the depth camera data enables emulation of interactive displays on un-instrumented surfaces (such as a standard table or office desk), as well as facilitates mid-air interactions between and around these displays. For example, after performing multi-touch interactions on a virtual object on the tabletop, the user may transfer the object to another display by simultaneously touching the object and the destination display. Or the user may ""pick up"" the object by sweeping it into their hand, see it sitting in their hand as they walk over to an interactive wall display, and ""drop"" the object onto the wall by touching it with their other hand. We detail the interactions and algorithms unique to LightSpace, discuss some initial observations of use and suggest future directions.},","Proceedings of the 23nd Annual ACM Symposium on User Interface Software and Technology},","273–282},","10},","augmented reality, depth cameras, interactive spaces, surface computing, ubiquitous computing},","New York, New York, USA},",UIST '10,"108},"
"Pierce, Jeffrey S. and Nichols, Jeffrey},","An infrastructure for extending applications' user experiences across multiple personal devices},","2008},","9781595939753},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1449715.1449733},","10.1145/1449715.1449733},","Users increasingly interact with a heterogeneous collection of computing devices. The applications that users employ on those devices, however, still largely provide user experiences that assume the use of a single computer. This failure is due in part to the difficulty of creating user experiences that span multiple devices, particularly the need to manage identifying, connecting to, and communicating with other devices. In this paper we present an infrastructure based on instant messaging that simplifies adding that additional functionality to applications. Our infrastructure elevates device ownership to a first class property, allowing developers to provide functionality that spans personal devices without writing code to manage users' devices or establish connections among them. It also provides simple mechanisms for applications to send information, events, or commands between a user's devices. We demonstrate the effectiveness of our infrastructure by presenting a set of sample applications built with it and a user study demonstrating that developers new to the infrastructure can implement all of the cross-device functionality for three applications in, on average, less than two and a half hours.},","Proceedings of the 21st Annual ACM Symposium on User Interface Software and Technology},","101–110},","10},","application development, infrastructure, multi-device services, multi-device user experiences},","Monterey, CA, USA},",UIST '08,"108},"
"Sato, Toshiki and Koike, Hideki},","MlioLight: Multi-Layered Image Overlay using Multiple Flashlight Devices},","2016},","9781450345316},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2984751.2985719},","10.1145/2984751.2985719},","We propose a technique that overlays natural images on the real world using the information from multiple flashlight devices. We focus on finding areas of overlapping lights in a multiple light-source scenario and overlaying multi-layered information on a real world object in these areas.In order to mix multiple images, we developed a light identification and overlapping area detection technique using rapid synchronization between high-speed cameras and multiple light devices.In this paper, we describe the concept of our system and a prototype implementation.We also describe two different applications.},","Adjunct Proceedings of the 29th Annual ACM Symposium on User Interface Software and Technology},","107–108},","2},","magic lens, multiple flashlights, projection mapping},","Tokyo, Japan},",UIST '16 Adjunct,"108},"
"Drucker, Steven M. and Petschnigg, Georg and Agrawala, Maneesh},","Comparing and managing multiple versions of slide presentations},","2006},","1595933131},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1166253.1166263},","10.1145/1166253.1166263},","Despite the ubiquity of slide presentations, managing multiple presentations remains a challenge. Understanding how multiple versions of a presentation are related to one another, assembling new presentations from existing presentations, and collaborating to create and edit presentations are difficult tasks. In this paper, we explore techniques for comparing and managing multiple slide presentations. We propose a general comparison framework for computing similarities and differences between slides. Based on this framework we develop an interactive tool for visually comparing multiple presentations. The interactive visualization facilitates understanding how presentations have evolved over time. We show how the interactive tool can be used to assemble new presentations from a collection of older ones and to merge changes from multiple presentation authors.},","Proceedings of the 19th Annual ACM Symposium on User Interface Software and Technology},","47–56},","10},","alignment, correspondence, distance metrics, slide presentations, versions},","Montreux, Switzerland},",UIST '06,"108},"
"Lander, Christian and Gehring, Sven and Kr\""{u}ger, Antonio and Boring, Sebastian and Bulling, Andreas},","GazeProjector: Accurate Gaze Estimation and Seamless Gaze Interaction Across Multiple Displays},","2015},","9781450337793},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2807442.2807479},","10.1145/2807442.2807479},","Mobile gaze-based interaction with multiple displays may occur from arbitrary positions and orientations. However, maintaining high gaze estimation accuracy in such situa-tions remains a significant challenge. In this paper, we present GazeProjector, a system that combines (1) natural feature tracking on displays to determine the mobile eye tracker's position relative to a display with (2) accurate point-of-gaze estimation. GazeProjector allows for seam-less gaze estimation and interaction on multiple displays of arbitrary sizes independently of the user's position and orientation to the display. In a user study with 12 partici-pants we compare GazeProjector to established methods (here: visual on-screen markers and a state-of-the-art video-based motion capture system). We show that our approach is robust to varying head poses, orientations, and distances to the display, while still providing high gaze estimation accuracy across multiple displays without re-calibration for each variation. Our system represents an important step towards the vision of pervasive gaze-based interfaces.},","Proceedings of the 28th Annual ACM Symposium on User Interface Software &amp; Technology},","395–404},","10},","calibration, eye tracking, gaze estimation, large displays, multi-display environments, natural feature tracking},","Charlotte, NC, USA},",UIST '15,"108},"
"Hinckley, Ken},","Synchronous gestures for multiple persons and computers},","2003},","1581136366},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/964696.964713},","10.1145/964696.964713},","This research explores distributed sensing techniques for mobile devices using synchronous gestures. These are patterns of activity, contributed by multiple users (or one user with multiple devices), which take on a new meaning when they occur together in time, or in a specific sequence in time. To explore this new area of inquiry, this work uses tablet computers augmented with touch sensors and two-axis linear accelerometers (tilt sensors). The devices are connected via an 802.11 wireless network and synchronize their time-stamped sensor data. This paper describes a few practical examples of interaction techniques using synchronous gestures such as dynamically tiling together displays by physically bumping them together, discusses implementation issues, and speculates on further possibilities for synchronous gestures.},","Proceedings of the 16th Annual ACM Symposium on User Interface Software and Technology},","149–158},","10},","context awareness, distributed sensor systems, input devices, multi-user interfaces, sensors, ubiquitous computing},","Vancouver, Canada},",UIST '03,"108},"
"Tsujii, Takahiro and Koizumi, Naoya and Naemura, Takeshi},","Inkantatory paper: dynamically color-changing prints with multiple functional inks},","2014},","9781450330688},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2658779.2659103},","10.1145/2658779.2659103},","We propose an effective combination of multiple functional inks, including conductive silver ink, thermo-chromic ink, and regular inkjet ink, for a novel paper-based interface called Inkantatory Paper that can dynamically change the color of its printed pattern. Constructed with off-the-shelf inkjet printing using silver conductive ink, our system enables users to fabricate thin, flat, flexible, and low-cost interactive paper. We evaluated the characteristics of the conductive silver ink as a heating system for the thermo-chromic ink and created applications demonstrating the usability of the system.},","Adjunct Proceedings of the 27th Annual ACM Symposium on User Interface Software and Technology},","39–40},","2},","conductive ink, digital fabrication, flexible printed electronics, inkjet printing, paper computing, prototyping},","Honolulu, Hawaii, USA},",UIST '14 Adjunct,"108},"
"Miller, Robert C. and Myers, Brad A.},","Synchronizing clipboards of multiple computers},","1999},","1581130759},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/320719.322584},","10.1145/320719.322584},","This paper describes a new technique for transferring data between computers, the synchronized clipboard. Multiple computers can share a synchronized clipboard for all clipboard operations, so that data copied to the clipboard from one computer, using the standard Copy command, can be pasted directly on another computer using the standard Paste command. Synchronized clipboards are well-suited for a single user moving data among several computers in close proximity. We describe an implementation of synchronized clipboards that works across a wide range of existing systems, including 3Com PalmPilots, Microsoft Windows PCs, Unix workstations, and other Java-capable platforms. Our implementation adds no noticeable overhead to local copy and paste operations.},","Proceedings of the 12th Annual ACM Symposium on User Interface Software and Technology},","65–66},","2},","Java, Pebbles, data transfer, distributed systems, drag-and-drop, file transfer, network clipboard, pick-and-drop, synchronized clipboard, ubiquitous computing},","Asheville, North Carolina, USA},",UIST '99,"108},"
"Yu, Chun and Shi, Yuanchun and Balakrishnan, Ravin and Meng, Xiangliang and Suo, Yue and Fan, Mingming and Qin, Yongqiang},","The satellite cursor: achieving MAGIC pointing without gaze tracking using multiple cursors},","2010},","9781450302715},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1866029.1866056},","10.1145/1866029.1866056},","We present the satellite cursor - a novel technique that uses multiple cursors to improve pointing performance by reducing input movement. The satellite cursor associates every target with a separate cursor in its vicinity for pointing, which realizes the MAGIC (manual and gaze input cascade) pointing method without gaze tracking. We discuss the problem of visual clutter caused by multiple cursors and propose several designs to mitigate it. Two controlled experiments were conducted to evaluate satellite cursor performance in a simple reciprocal pointing task and a complex task with multiple targets of varying layout densities. Results show the satellite cursor can save significant mouse movement and consequently pointing time, especially for sparse target layouts, and that satellite cursor performance can be accurately modeled by Fitts' Law.},","Proceedings of the 23nd Annual ACM Symposium on User Interface Software and Technology},","163–172},","10},","magic pointing, multiple cursor, reducing a},","New York, New York, USA},",UIST '10,"108},"
"Miyashita, Ken and Matsuoka, Satoshi and Takahashi, Shin and Yonezawa, Akinori},","Interactive generation of graphical user interfaces by multiple visual examples},","1994},","0897916573},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/192426.192462},","10.1145/192426.192462},","The construction of application-specific Graphical User Interfaces (GUI) still needs considerable programming partly because the mapping between application data and its visual representation is complicated. This study proposes a system which generates GUIs by generalizing multiple sets of application data and its visualization examples. The most notable characteristic of the system is that programmers can interactively modify the mapping by “correcting” the system-generated visualization examples that represent the system's current notion of programmer's intentions. Conflicting mappings are automatically resolved via the use of constraint hierarchies.},","Proceedings of the 7th Annual ACM Symposium on User Interface Software and Technology},","85–94},","10},","constraint hierarchies, graphical user interfaces, programming by example, visual parsing, visualization},","Marina del Rey, California, USA},",UIST '94,"108},"
"Nichols, Jeffrey and Rothrock, Brandon and Chau, Duen Horng and Myers, Brad A.},","Huddle: automatically generating interfaces for systems of multiple connected appliances},","2006},","1595933131},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1166253.1166298},","10.1145/1166253.1166298},","Systems of connected appliances, such as home theaters and presentation rooms, are becoming commonplace in our homes and workplaces. These systems are often difficult to use, in part because users must determine how to split the tasks they wish to perform into sub-tasks for each appliance and then find the particular functions of each appliance to complete their sub-tasks. This paper describes Huddle, a new system that automatically generates task-based interfaces for a system of multiple appliances based on models of the content flow within the multi-appliance system.},","Proceedings of the 19th Annual ACM Symposium on User Interface Software and Technology},","279–288},","10},","aggregate user interfaces, appliances, automatic interface generation, handheld computers, home theater, mobile phones, pebbles, personal digital assistants, personal universal controller (PUC)},","Montreux, Switzerland},",UIST '06,"108},"
"Vogel, Daniel and Balakrishnan, Ravin},","Interactive public ambient displays: transitioning from implicit to explicit, public to personal, interaction with multiple users},","2004},","1581139578},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1029632.1029656},","10.1145/1029632.1029656},","We develop design principles and an interaction framework for sharable, interactive public ambient displays that support the transition from implicit to explicit interaction with both public and personal information. A prototype system implementation that embodies these design principles is described. We use novel display and interaction techniques such as simple hand gestures and touch screen input for explicit interaction and contextual body orientation and position cues for implicit interaction. Techniques are presented for subtle notification, self-revealing help, privacy controls, and shared use by multiple people each in their own context. Initial user feedback is also presented, and future directions discussed.},","Proceedings of the 17th Annual ACM Symposium on User Interface Software and Technology},","137–146},","10},","ambient displays, interactive public displays, subtle interaction, ubicomp},","Santa Fe, NM, USA},",UIST '04,"108},"
"Dennler, Nathaniel Steele and Torrence, Evan and Yoo, Uksang and Nikolaidis, Stefanos and Mataric, Maja},","PyLips: an Open-Source Python Package to Expand Participation in Embodied Interaction},","2024},","9798400707186},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3672539.3686747},","10.1145/3672539.3686747},","We demonstrate PyLips, a Python package for expanding access to screen-based facial interfaces for text-to-speech. PyLips can be used to rapidly develop social interactions for a wide variety of applications. We designed PyLips to be easy to use for novice users and expressive for experienced interaction designers. We demonstrate key features of PyLips: compatibility across devices, customizable face appearance, and automated lip synching for text inputs. PyLips can be found at https://github.com/interaction-lab/PyLips.},","Adjunct Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology},","137–146},","4},","Conversational Agents, Human-Computer Interaction, Human-Robot Interaction},","Pittsburgh, PA, USA},",UIST Adjunct '24,"33},"
"Koyama, Kazuki and Narumi, Koya and Takaki, Ken and Kawase, Yasushi and Hautasaari, Ari and Kawahara, Yoshihiro},","Reusing Cardboard for Packaging Boxes with a Computational Design System},","2023},","9798400700965},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3586182.3616692},","10.1145/3586182.3616692},","We propose a computational design system for packaging boxes, which enables reconstruction of cardboard into packaging structures that precisely fit the size of the objects to be shipped. Given a 3D model of the object and the structure of the cardboard to be reused, our system suggests the optimal net of a new box, which only requires minimum cuts and folds for fabrication by leveraging the edges of the input cardboard. To achieve this, we implemented a GUI visualizing the input models and the optimal net computed by our optimization algorithm. As a demonstration, we showed three design examples, with evaluation results of our method for reducing the length of cuts and folds.},","Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology},","137–146},","3},","daily object reuse, optimization algorithm, personal fabrication, sharing economy, sustainable fabrication},","San Francisco, CA, USA},",UIST '23 Adjunct,"15},"
"Fogarty, James and Forlizzi, Jodi and Hudson, Scott E.},","Specifying behavior and semantic meaning in an unmodified layered drawing package},","2002},","1581134886},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/571985.571995},","10.1145/571985.571995},","In order to create and use rich custom appearances, designers are often forced to introduce an unnatural gap into the design process. For example, a designer creating a skin for a music player must separately specify the appearance of the elements in the music player skin and the mapping between these visual elements and the functionality provided by the music player. This gap between appearance and semantic meaning creates a number of problems. We present a set of techniques that allows designers to use their preferred drawing tool to specify both appearance and semantic meaning. We demonstrate our techniques in an unmodified version of Adobe Photoshop®, but our techniques are general and adaptable to nearly any layered drawing package.},","Proceedings of the 15th Annual ACM Symposium on User Interface Software and Technology},","61–70},","10},","prototyping, visual design tools, visual specification},","Paris, France},",UIST '02,"15},"
"Saakes, Daniel and Cambazard, Thomas and Mitani, Jun and Igarashi, Takeo},","PacCAM: material capture and interactive 2D packing for efficient material usage on CNC cutting machines},","2013},","9781450322683},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2501988.2501990},","10.1145/2501988.2501990},","The availability of low-cost digital fabrication devices enables new groups of users to participate in the design and fabrication of things. However, software to assist in the transition from design to actual fabrication is currently overlooked. In this paper, we introduce PacCAM, a system for packing 2D parts within a given source material for fabrication using 2D cutting machines. Our solution combines computer vision to capture the source material shape with a user interface that incorporates 2D rigid body simulation and snapping. A user study demonstrated that participants could make layouts faster with our system compared with using traditional drafting tools. PacCAM caters to a variety of 2D fabrication applications and can contribute to the reduction of material waste.},","Proceedings of the 26th Annual ACM Symposium on User Interface Software and Technology},","441–446},","6},","2d shape packing, design tool, fabrication},","St. Andrews, Scotland, United Kingdom},",UIST '13,"15},"
