author,title,year,isbn,publisher,address,url,doi,abstract,booktitle,articleno,numpages,keywords,location,series,pages
"Kayukawa, Seita and Higuchi, Keita and Morishima, Shigeo and Sakurada, Ken",3DMovieMap: an Interactive Route Viewer for Multi-Level Buildings,2023,9781450394222,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3544549.3585885,10.1145/3544549.3585885,"We present an interactive route viewer system, 3DMovieMap, which generates and shows navigation movies walking through multi-level buildings, such as a science museum, airport, and university building. Movie map systems can provide users with visual cues by synthesizing navigation movies based on their inputs of routes. However, existing systems are limited to flat areas such as city areas. We aim to extend Movie Map to generate navigation movies for multi-level buildings. The 3DMovieMap system generates a movie map from an equirectangular movie via a visual Simultaneous Localization and Mapping technology. Users select waypoints on the floor maps. 3DMovieMap calculates the shortest path that visits these points and generates a navigation movie along the route. We created four movie maps of buildings and asked two participants to use our system and provide feedback for further improvements. We will be releasing an open dataset of equirectangular movies captured in a science museum.",Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,2,11,"equirectangular movie dataset, indoor environment, movie map, navigation","Hamburg, Germany",CHI EA '23,6317–6329
"Schofield, Tom and Foster Smith, Daniel and Bozoglu, G\""{o}n\""{u}l and Whitehead, Christopher",Design and Plural Heritages: Composing Critical Futures,2019,9781450359702,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3290605.3300236,10.1145/3290605.3300236,"We make theoretical and methodological contributions to the CHI community by introducing comparisons between contemporary Critical Heritage research and some forms of experimental design practice. Beginning by identifying three key approaches in contemporary heritage research: Critical Heritage, Plural Heritages and Future Heritage we introduce these in turn, while exploring their significance for thinking about design, knowledge and diversity. We discuss our efforts to apply ideas integrating Critical Heritage and design through the adoption of known Research through Design techniques in a research project in Istanbul, Turkey describing the design of our study and how this was productive of sensory and speculative reflection on the past. Finally, we reflect on the usefulness of such methods in developing new interactive technologies in heritage contexts and go on to propose a series of recommendations for a future Critical Heritage Design practice.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2,15,"critical heritage, cultural probes, future heritage, plural heritages","Glasgow, Scotland Uk",CHI '19,1–15
"van Allen, Philip and McVeigh-Schultz, Joshua and Brown, Brooklyn and Kim, Hye Mi and Lara, Daniel",AniThings: animism and heterogeneous multiplicity,2013,9781450319522,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2468356.2468746,10.1145/2468356.2468746,"This paper explores the metaphor of animism as a methodological framework for interaction design and, in particular, advocates for a form of animism the authors term 'heterogeneous multiplicity.' Animism can make valuable contributions within ubiquitous computing contexts, where objects with designed behaviors tend to evoke a perception that they have autonomy, intention, personality and an inner life. Furthermore, animism that supports heterogeneous multiplicity offers unique opportunities to stimulate human creativity through embodied engagement with an ecology of things. To demonstrate the concept of heterogeneous multiplicity, the authors present a speculative design project, AniThings, that intertwines multiple animistic collaborators to position activities of digital resource discovery and curation beyond the narrow domain of recommendation engines and personal feeds. The project illustrates an ecology of six tangible, interactive objects that, respectively, draw from a variety of digital resources and inhabit a range of variously positioned stances towards their human collaborators and each other. This diversity of behaviors, resources, and positionality makes AniThings ideal for supporting open-ended ideation and collaborative imagining activities.",CHI '13 Extended Abstracts on Human Factors in Computing Systems,2,10,"animism, creative collaboration, design fiction, ecology of things, heterogeneous multiplicity, speculative design, ubiquitous computing","Paris, France",CHI EA '13,2247–2256
"Kim, Jung-Hwa and Jeong, Jin-Woo",A Preliminary Study on Performance Evaluation of Multi-View Multi-Modal Gaze Estimation under Challenging Conditions,2020,9781450368193,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3334480.3382856,10.1145/3334480.3382856,"In this paper, we address gaze estimation under practical and challenging conditions. Multi-view and multi-modal learning have been considered useful for various complex tasks; however, an in-depth analysis or a large-scale dataset on multi-view, multi-modal gaze estimation under a long-distance setup with a low illumination is still very limited. To address these limitations, first, we construct a dataset of images captured under challenging conditions. And we propose a simple deep learning architecture that can handle multi-view multi-modal data for gaze estimation. Finally, we conduct a performance evaluation of the proposed network with the constructed dataset to understand the effects of multiple views of a user and multi-modality (RGB, depth, and infrared). We report various findings from our preliminary experimental results and expect this would be helpful for gaze estimation studies to deal with challenging conditions.",Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,2,7,"deep neural networks, gaze estimation, multi-modal interaction, multi-view learning","Honolulu, HI, USA",CHI EA '20,1–7
"Nacenta, Miguel A. and Sallam, Samer and Champoux, Bernard and Subramanian, Sriram and Gutwin, Carl",Perspective cursor: perspective-based interaction for multi-display environments,2006,1595933727,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1124772.1124817,10.1145/1124772.1124817,"Multi-display environments and smart meeting rooms are now becoming more common. These environments build a shared display space from variety of devices: tablets, projected surfaces, tabletops, and traditional monitors. Since the different display surfaces are usually not organized in a single plane, traditional schemes for stitching the displays together can cause problems for interaction. However, there is a more natural way to compose display space -- using perspective. In this paper, we develop interaction techniques for multi-display environments that are based on the user's perspective on the room. We designed the Perspective Cursor, a mapping of cursor to display space that appears natural and logical from wherever the user is located. We conducted an experiment to compare two perspective-based techniques, the Perspective Cursor and a beam-based technique, with traditional stitched displays. We found that both perspective techniques were significantly faster for targeting tasks than the traditional technique, and that Perspective Cursor was the most preferred method. Our results show that integrating perspective into the design of multi-display environments can substantially improve performance.",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2,10,"direct-manipulation interfaces, laser pointing, multi-display interaction techniques, multi-monitor environments","Montr\'{e}al, Qu\'{e}bec, Canada",CHI '06,289–298
"Sarma, Abhraneel and Hedayati, Maryam and Kay, Matthew","More Forecasts, More (Decision) Problems: How Uncertainty Representations for Multiple Forecasts Impact Decision Making",2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713725,10.1145/3706598.3713725,"Users often have access to multiple forecasts regarding an event. Different forecasts incorporate different assumptions and epistemic information. A growing body of work argues against decision-making solely based on expected utility maximisation strategies in multiple forecasts scenarios, in favour of other strategies such as the maximin expected utility. In this work, we compare two different approaches for depicting epistemic uncertainty—ensembles (a direct representation of multiple forecasts) and p-boxes (a representation which only communicates the bounds of epistemic uncertainty)—in plots where individual distributions are represented as cumulative distribution plots (CDFs). We conduct three experiments to investigate the impact of the visual representation on the decision-making strategies that people adopt. Our results suggest that participants adopt conservative decision-making strategies (i.e. place greater weight on the worst-case forecast than the best-case forecast) for both p-boxes and ensembles if the set of forecasts are uniformly distributed. However, if a majority of the forecasts are clustered near one of the bounds, participants may discount the forecast which appears as a visual outlier.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,251,14,"multiple forecasts, uncertainty visualization, decision-making",,CHI '25,289–298
"Jeong, Jae-Yeop and Jeong, Jin-Woo",Understanding User Behavior in Window Selection using Dragging for Multiple Targets,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713410,10.1145/3706598.3713410,"Window selection is a fundamental method in desktop environments for interacting with multiple targets, typically performed by successive operations like click-drag-release (i.e., a single sequence of dragging). Although this method is common in GUI interactions, there has been limited research to understand user behavior during window selection. This study explores user behavior and performance during window selection using dragging. We empirically studied the impact of several GUI parameters — including the size, interval, number, and layout of targets — on window selection for multiple targets. Based on well-established existing motor models, we analyzed user behavior in terms of time performance and derived a more suitable model. Additionally, our new prediction model effectively predicted time performance in partially constrained scenarios. This study provides new insights into user behavior during window selection for multiple targets. We hope that our research findings will assist GUI designers, practitioners, and researchers in testing their designs.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,855,21,"Window selection, dragging, graphical user interface, multi-target selection, human motor performance, behavior modeling",,CHI '25,289–298
"Shi, Han and Luo, Hanzhong and Yi, HyeonBeom and Je, Seungwoo",ReachPad: Interacting with Multiple Virtual Screens using a Single Physical Pad through Haptic Retargeting,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713629,10.1145/3706598.3713629,"The advancement of Virtual Reality (VR) has expanded 2D user interfaces into 3D space. This change has introduced richer interaction modalities but also brought challenges, especially the lack of haptic feedback in mid-air interactions. Previous research has explored various methods to provide feedback for interface interactions, but most approaches require specialized haptic devices. We introduce haptic retargeting to enable users to control multiple virtual screens in VR using a simple flat pad, which serves as a single physical proxy to support seamless interaction across multiple virtual screens. We conducted user studies to explore the appropriate virtual screen size and positioning under our retargeting method and then compared various drag-and-drop methods for cross-screen interaction. Finally, we compared our method with controller-based interaction in application scenarios.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,1135,17,"Virtual reality, 3D user interfaces, haptic retargeting, passive haptics, interaction",,CHI '25,289–298
"Eriksson, Eva and Costa, Concei\c{c}\~{a}o e and Goncalves, Maria and Nunes, Ines and Groen, Maarten and Niederer, Sabine and Holflod, Kim and N\o{}rg\r{a}rd, Rikke Toft",Cultural Game Jams with Youth: A Multiple-Site Case Study,2025,9798400713958,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706599.3706667,10.1145/3706599.3706667,"In this paper, we present a multiple-site case study to illustrate the similarities and differences in cultural game jam design with youth in situated research contexts. The aim is to provide the reader with an insight into the problem space, jam design, outcomes and opportunities of a set of linked, yet individual, studies from several different contexts and countries. The cases provide a platform to think about how game jam studies might be collectively reported and evaluated even when they are carried out in different ways. The contribution is an illustration of differentiated replication in multiple cultural game jam studies with youth in different countries. The reflections on replication and differentiation is of interest for cultural game jam activities to empower youth’s cultural participation through technology design.",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,666,8,"Game jam, culture, values, design, digital games",,CHI EA '25,289–298
"Adiwangsa, Michelle and Suominen, Hanna and Sweetser, Penny",Can Augmented Reality Head-Mounted Display Exergames Support the Management of Multiple Sclerosis at Home? Workshop Discussions with Researchers and Experts with Lived Experience of MS,2025,9798400713958,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706599.3720214,10.1145/3706599.3720214,"Exercising is a beneficial rehabilitation strategy for people with Multiple Sclerosis (MS). Exergaming provides an alternative to traditional rehabilitation programs, increasing accessibility and adherence to home-based exercise. Augmented reality (AR) head-mounted displays (HMDs) offer a promising solution for safer and more inclusive in-home exergaming experiences, which is important for people with MS. However, research on AR HMDs for exergaming in MS rehabilitation is still limited and evolving. It is still unclear whether these systems are suitable for supporting physical rehabilitation, particularly in managing MS at home. To investigate, we conducted an online workshop with eight multidisciplinary researchers and experts with lived experience of MS conducting research in MS and related technologies. We produced themes relating to accessibility and equipment considerations, and the importance of social interaction. We present our key findings from the workshop and offer recommendations for using AR HMD exergames in the rehabilitation of MS.",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,124,7,"Augmented reality, Exercising, Exergaming, Home environment, Participatory Design",,CHI EA '25,289–298
"Yu, Difeng and Roberts, James and Hornb\ae{}k, Kasper and Bergstr\""{o}m, Joanna",Deriving Selection Techniques for GUIs based on the Multiple Process Model,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713089,10.1145/3706598.3713089,"Designing efficient selection techniques for graphical user interfaces (GUIs) is fundamental in HCI research. We derive selection techniques based on the multiple process model, a theory that details the motor control processes during goal-directed movements. Specifically, we deduce three theoretical assumptions on how control processes of pre-planning, impulse control, and limb-target control could influence selection movements when adjusting GUI elements, including visual feedback, cursor position, and target position. Corresponding to our assumptions, we develop three techniques that hide the cursor when a target is highlighted, snap the cursor when selection begins, and expand clustered objects during selection movements. After that, we pre-register the assumptions and research methodology and evaluate the techniques in three crowdsourcing-based pointing studies. Our results show that all techniques improved the selection efficiency compared to established baselines. We further discuss the design implications and reflect on how we derived techniques from theory.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,851,16,"Cursor, input, object selection, pointing, target selection",,CHI '25,289–298
"Read, Janet and Sim, Gavin and Fails, Jerry Alan and Boden, Marie A and Korte, Jessica L and Bhatnagar, Sanjana and Hope Borchardt, Lilly and Constantin, Aurora and Gavrilescu, Dina and Wilson, Cara and Good, Judith and Andries, Valentina and Eriksson, Eva",Exploring Similarities and Differences in a set of Linked Multiple-site Design Sessions with Children,2024,9798400703317,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3613905.3637143,10.1145/3613905.3637143,"In this paper, we present a multiple-site case study to illustrate the similarities and differences in design with children in situated research contexts. The aim is to provide the reader with an insight into the planning, execution and evaluation of a set of linked, yet individual, studies from several different contexts and countries. The cases provide a platform to think about how design studies might be collectively reported and evaluated even when they are carried out in different ways. We illustrate the inherent complexity of this process by considering six case studies from five countries on three continents. The contribution is an illustration of differentiated replication in multiple distributed participatory design case studies with children in different countries. We share our thoughts on replication and differentiation, on the value of the design activities, and on how to carry out a larger project.",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,519,9,"Case study, Child-computer interaction, Co-design, Distributed participatory design","Honolulu, HI, USA",CHI EA '24,289–298
"Reza, Mohi and Laundry, Nathan M and Musabirov, Ilya and Dushniku, Peter and Yu, Zhi Yuan “Michael” and Mittal, Kashish and Grossman, Tovi and Liut, Michael and Kuzminykh, Anastasia and Williams, Joseph Jay",ABScribe: Rapid Exploration &amp; Organization of Multiple Writing Variations in Human-AI Co-Writing Tasks using Large Language Models,2024,9798400703300,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3613904.3641899,10.1145/3613904.3641899,"Exploring alternative ideas by rewriting text is integral to the writing process. State-of-the-art Large Language Models (LLMs) can simplify writing variation generation. However, current interfaces pose challenges for simultaneous consideration of multiple variations: creating new variations without overwriting text can be difficult, and pasting them sequentially can clutter documents, increasing workload and disrupting writers’ flow. To tackle this, we present ABScribe, an interface that supports rapid, yet visually structured, exploration and organization of writing variations in human-AI co-writing tasks. With ABScribe, users can swiftly modify variations using LLM prompts, which are auto-converted into reusable buttons. Variations are stored adjacently within text fields for rapid in-place comparisons using mouse-over interactions on a popup toolbar. Our user study with 12 writers shows that ABScribe significantly reduces task workload (d = 1.20, p &lt; 0.001), enhances user perceptions of the revision process (d = 2.41, p &lt; 0.001) compared to a popular baseline workflow, and provides insights into how writers explore variations using LLMs.",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,1042,18,"datasets, gaze detection, neural networks, text tagging","Honolulu, HI, USA",CHI '24,289–298
"Grundgeiger, Tobias and M\""{u}nz, Alea and Schlosser, Paul and Happel, Oliver",Supervising Multiple Operating Rooms Using a Head-Worn display: A Longitudinal Evaluation of the Experience of Supervising Anesthesiologists and Their Co-Workers,2023,9781450394215,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3544548.3581180,10.1145/3544548.3581180,"Research has explored head-worn displays (HWD) in various professional contexts. However, evaluations have been limited by short-term use, a focus on the person using the HWD, and on performance variables. In a field study, we evaluated a monocular, opaque HWD for multi-patient monitoring, which supervising anesthesiologists wore for 8-10 days each. We investigated the effect of prolonged HWD use on the experience of the supervising anesthesiologists and their co-workers using interviews and repeated observations. A reflexive thematic analysis showed (1) interaction and mindset changes over time, (2) information on the HWD is more than numbers, (3) the HWD affects co-workers' collaboration with supervisors, and (4) distraction depends on the point of view. Using activity theory, we discuss the fact that HWD use develops and changes over time and that even a single-user HWD influences the collaboration with co-workers. We conclude with implications for HWD design, implementation, and evaluation.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,345,18,"datasets, gaze detection, neural networks, text tagging","Hamburg, Germany",CHI '23,289–298
"Tang, Yichen and Stavness, Ian and Fels, Sidney S.",The new pCubee: multi-touch perspective-corrected cubic display,2014,9781450324748,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2559206.2574835,10.1145/2559206.2574835,"We present the latest revision of our personal perspective-corrected hand-held cubic display, pCubee, featuring a complete hardware redesign and novel interaction mechanisms. The OLED panels introduce improved visual experience for users, and allow a lightweight and compact design that makes the system easy to manipulate. Users can interact with virtual objects in the display through various methods including real-time physics simulation, directly-mapped stylus and cross-screen multi-touch input. Applications of the technology include visualization for static or dynamic contents, 3D object manipulation and tangible entertainment.",CHI '14 Extended Abstracts on Human Factors in Computing Systems,345,4,"user interface, hand-held device, fish tank virtual reality, displays, bimanual interaction","Toronto, Ontario, Canada",CHI EA '14,419–422
